dev_id,mana_day,mana_hh,mana_mm,gr_id,now_kw,min_kw,tot_kw,run_yn,com_yn,bms_soc,bms_soh,min_bin,min_bout,tot_bin,tot_bout,dc_v,dc_a,dc_kw,ac_v_r,ac_v_s,ac_v_t,ac_a_r,ac_a_s,ac_a_t,act_kw,ract_kw,pw_fact,hz,box_temp,max_v,min_v,max_temp,min_temp,run_stop_dat,dev_temp,run_mod,target_value,grid_bin,grid_bout,slope_sun,horizon_sun,module_temp,air_temp,wind_speed,avg_acc_kw,tot_kepco_kw,day_kw,ac_v_r_s,ac_v_s_t,ac_v_t_r,psvm,nsvm,zsvm,pscm,nscm,zscm
310001,20220315,09,54,310,0.26,0.00,0.00,R,1,0.00,0.00,0.00,0.00,73365.00,69191.00,799.73,0.01,0.00,401.88,400.07,400.13,0.14,0.40,1.68,0.26,0.00,1.00,60,24.30,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,37,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.96,0.00,0.00,402.61,399.16,401.34,0.11,0.42,1.39,0.20,0.00,1.00,60,26.47,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,44,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,785.10,0.02,0.00,402.58,399.63,401.63,0.17,0.48,1.43,0.20,0.00,1.00,60,26.45,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,43,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,785.09,0.03,0.00,403.04,399.75,401.61,0.18,0.48,1.43,0.20,0.00,1.00,59,26.46,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,39,310,0.21,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.98,0.00,0.00,402.64,399.23,401.11,0.12,0.43,1.40,0.21,0.00,1.00,60,26.47,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,34,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.92,0.00,0.00,403.03,399.39,401.48,0.13,0.43,1.41,0.20,0.00,1.00,60,26.45,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,32,310,0.21,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.93,0.01,0.00,401.87,398.43,400.61,0.14,0.45,1.43,0.21,0.00,1.00,60,26.45,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,42,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,785.06,0.03,0.00,402.88,399.93,401.89,0.15,0.47,1.43,0.20,0.00,1.00,60,26.49,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,36,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.98,0.01,0.00,403.24,399.55,401.58,0.13,0.45,1.43,0.20,0.00,1.00,60,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,38,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.99,0.01,0.00,402.68,399.44,401.33,0.11,0.43,1.40,0.20,0.00,1.00,60,26.47,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,47,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.07,0.01,0.00,401.04,397.73,400.05,0.13,0.45,1.40,0.20,0.00,1.00,59,26.46,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,41,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,785.04,0.00,0.00,402.51,399.58,401.40,0.14,0.44,1.40,0.20,0.00,1.00,60,26.46,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,33,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.94,0.03,0.00,402.14,399.03,401.12,0.15,0.44,1.41,0.20,0.00,1.00,60,26.43,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,35,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,784.93,0.00,0.00,403.20,399.24,401.35,0.13,0.45,1.40,0.20,0.00,1.00,60,26.43,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,54,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.11,0.01,0.00,401.70,398.67,400.68,0.13,0.47,1.41,0.20,0.00,1.00,60,26.50,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,51,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.08,0.00,0.00,401.11,397.73,399.89,0.11,0.42,1.40,0.20,0.00,1.00,59,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,48,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.11,0.03,0.00,401.81,398.32,400.43,0.15,0.48,1.44,0.20,0.00,1.00,60,26.44,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,40,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63502.00,59995.00,785.04,0.01,0.00,403.21,399.77,401.50,0.16,0.44,1.43,0.20,0.00,1.00,59,26.43,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,50,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.11,0.03,0.00,401.95,398.30,400.71,0.13,0.46,1.41,0.20,0.00,1.00,60,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,49,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.08,0.00,0.00,402.15,399.02,401.14,0.13,0.46,1.41,0.20,0.00,1.00,60,26.49,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,45,310,0.20,0.00,0.00,R,1,0.00,0.00,1.00,0.00,63503.00,59995.00,785.08,0.03,0.00,402.03,398.63,400.48,0.17,0.47,1.43,0.20,0.00,1.00,59,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,46,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.05,0.00,0.00,401.27,398.07,400.20,0.13,0.43,1.40,0.20,0.00,1.00,59,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,53,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.12,0.00,0.00,401.11,397.69,399.84,0.13,0.44,1.40,0.20,0.00,1.00,59,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,52,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.09,0.00,0.00,401.11,397.52,399.43,0.13,0.43,1.41,0.20,0.00,1.00,60,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,56,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.09,0.01,0.00,402.74,398.88,401.16,0.11,0.44,1.40,0.20,0.00,1.00,59,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,55,310,0.21,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.13,0.02,0.00,402.24,399.03,401.17,0.15,0.48,1.42,0.21,0.00,1.00,60,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,57,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.12,0.02,0.00,402.11,398.83,400.78,0.13,0.47,1.41,0.20,0.00,1.00,60,26.45,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,58,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.12,0.02,0.00,402.42,399.08,401.19,0.12,0.46,1.42,0.20,0.00,1.00,59,26.47,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,20,59,310,0.20,0.00,0.00,R,0,0.00,0.00,0.00,0.00,63503.00,59995.00,785.18,0.05,0.00,401.94,398.57,400.68,0.18,0.49,1.44,0.20,0.00,1.00,59,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220205,11,25,310,-68.79,0.00,0.00,R,1,0.00,0.00,1.00,0.00,65689.00,61967.00,842.27,79.06,0.00,404.52,402.38,404.69,98.81,99.45,97.02,-68.79,0.00,1.00,59,43.32,0.00,0.00,0.00,0.00,,0.00,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,-68.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,12,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.18,0.01,0.00,400.93,397.80,399.80,0.13,0.44,1.41,0.20,0.00,1.00,59,26.42,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,11,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.13,0.00,0.00,401.68,398.45,400.37,0.10,0.40,1.37,0.20,0.00,1.00,59,26.40,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,07,310,0.20,0.00,0.00,R,0,0.00,0.00,0.00,0.00,63503.00,59995.00,785.18,0.01,0.00,401.43,398.14,400.22,0.14,0.46,1.41,0.20,0.00,1.00,59,26.44,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,02,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.13,0.01,0.00,401.79,398.75,400.76,0.13,0.48,1.41,0.20,0.00,1.00,60,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,00,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.14,0.03,0.00,401.48,398.35,400.37,0.16,0.48,1.42,0.20,0.00,1.00,60,26.46,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,04,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.14,0.01,0.00,401.55,398.24,400.38,0.13,0.44,1.40,0.20,0.00,1.00,60,26.46,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,10,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.19,0.03,0.00,402.03,398.75,401.03,0.14,0.43,1.42,0.20,0.00,1.00,60,26.42,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,06,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.15,0.01,0.00,401.78,398.35,400.65,0.13,0.43,1.40,0.20,0.00,1.00,60,26.44,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,15,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.23,0.02,0.00,402.22,399.01,401.19,0.16,0.46,1.42,0.20,0.00,1.00,59,26.40,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,09,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.18,0.02,0.00,401.81,398.46,400.61,0.12,0.43,1.41,0.20,0.00,1.00,59,26.43,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,01,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.16,0.01,0.00,402.26,399.03,400.97,0.18,0.47,1.41,0.20,0.00,1.00,60,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,03,310,0.21,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.18,0.03,0.00,401.58,398.30,400.29,0.16,0.48,1.42,0.21,0.00,1.00,59,26.48,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,22,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.19,0.00,0.00,401.18,397.99,400.38,0.11,0.41,1.38,0.20,0.00,1.00,59,26.38,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,19,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.24,0.01,0.00,401.32,398.08,400.45,0.13,0.44,1.40,0.20,0.00,1.00,59,26.40,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,08,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.14,0.01,0.00,401.57,398.45,400.48,0.12,0.45,1.40,0.20,0.00,1.00,59,26.44,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,05,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.13,0.00,0.00,401.43,398.11,400.13,0.12,0.43,1.41,0.20,0.00,1.00,60,26.47,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,16,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.23,0.00,0.00,403.12,399.43,401.72,0.18,0.45,1.42,0.20,0.00,1.00,60,26.40,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,18,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.21,0.01,0.00,401.33,398.29,400.74,0.13,0.44,1.41,0.20,0.00,1.00,60,26.40,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,17,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.20,0.01,0.00,402.03,398.75,400.91,0.13,0.44,1.40,0.20,0.00,1.00,59,26.40,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,13,310,0.21,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.23,0.02,0.00,402.04,398.68,401.00,0.17,0.47,1.40,0.21,0.00,1.00,59,26.41,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,14,310,0.21,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.22,0.02,0.00,402.34,398.93,401.17,0.16,0.45,1.41,0.21,0.00,1.00,59,26.40,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,21,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.22,0.00,0.00,400.66,397.53,400.06,0.12,0.43,1.40,0.20,0.00,1.00,59,26.40,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,20,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.16,0.00,0.00,401.64,398.00,400.37,0.12,0.42,1.39,0.20,0.00,1.00,59,26.40,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,24,310,0.19,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.24,0.00,0.00,401.39,397.88,400.17,0.11,0.41,1.39,0.19,0.00,1.00,59,26.37,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,23,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.22,0.00,0.00,401.52,398.04,400.47,0.11,0.41,1.39,0.20,0.00,1.00,59,26.39,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,25,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.27,0.00,0.00,401.83,398.01,400.42,0.12,0.43,1.40,0.20,0.00,1.00,59,26.35,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,26,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.27,0.01,0.00,402.73,398.85,401.28,0.13,0.43,1.40,0.20,0.00,1.00,59,26.33,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
310001,20220125,21,27,310,0.20,0.00,0.00,R,1,0.00,0.00,0.00,0.00,63503.00,59995.00,785.28,0.00,0.00,402.47,398.76,401.22,0.13,0.43,1.40,0.20,0.00,1.00,59,26.31,0.00,0.00,0.00,0.00,,0.00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
